;Exporter;Importer;Year;Value (1000USD);Weight (1000kg);Export value, where quarantined;Import value, where quarantined;Export weight, where quarantined;Import weight, where quarantined;Embodied CO2 (1000kg);Embodied land (ha);Embodied blue water (m³)
159;Honduras;Germany;2018;264057,62;98476,48;0,0;0,0;0,0;0,0;97271,81;0,0;0,0
171;Honduras;United States of America;4036;192260,21;64378,15;0,0;0,0;0,0;0,0;63590,611;0,0;0,0
151;Honduras;Belgium;2018;85752,8;29649,062;0,0;0,0;0,0;0,0;29286,365;0,0;0,0
160;Honduras;Italy;2018;66723,95;24148,129;0,0;0,0;0,0;0,0;23852,725;0,0;0,0
158;Honduras;France;2018;60456,742;20650,586;0,0;0,0;0,0;0,0;20397,967;0,0;0,0
153;Honduras;Colombia;2018;23230,42;15813,822;0,0;0,0;0,0;0,0;15620,371;0,0;0,0
170;Honduras;United Kingdom;2018;37403,99;12840,027;0,0;0,0;0,0;0,0;12682,955;0,0;0,0
168;Honduras;Sweden;2018;29512,191;9261,336;0,0;0,0;0,0;0,0;9148,042;0,0;0,0
152;Honduras;Canada;2018;27064,055;7835,343;0,0;0,0;0,0;0,0;7739,4927;0,0;0,0
166;Honduras;South Korea;2018;20912,361;7581,348;0,0;0,0;0,0;0,0;7488,6055;0,0;0,0
163;Honduras;Netherlands;2018;19394,84;6656,3223;0,0;0,0;0,0;0,0;6574,8955;0,0;0,0
161;Honduras;Japan;2018;19189,29;6604,494;0,0;0,0;0,0;0,0;6523,701;0,0;0,0
167;Honduras;Spain;2018;16204,896;6139,406;0,0;0,0;0,0;0,0;6064,3022;0,0;0,0
157;Honduras;Finland;2018;16824,156;5490,475;0,0;0,0;0,0;0,0;5423,31;0,0;0,0
165;Honduras;Russia;2018;14444,176;5282,088;0,0;0,0;0,0;0,0;5217,472;0,0;0,0
150;Honduras;Australia;2018;13172,289;4461,5376;0,0;0,0;0,0;0,0;4406,9595;0,0;0,0
169;Honduras;Switzerland;2018;12533,374;4010,8992;0,0;0,0;0,0;0,0;3961,8337;0,0;0,0
154;Honduras;Costa Rica;2018;6255,4854;3905,0479;0,0;0,0;0,0;0,0;3857,2773;0,0;0,0
156;Honduras;Ecuador;2018;3729,6465;2352,7307;0,0;0,0;0,0;0,0;2323,9497;0,0;0,0
164;Honduras;Portugal;2018;6605,019;2251,6326;0,0;0,0;0,0;0,0;2224,0884;0,0;0,0
155;Honduras;Dominican Republic;2018;6458,8604;2237,268;0,0;0,0;0,0;0,0;2209,8994;0,0;0,0
162;Honduras;Korea, Democratic People’s Republic;2018;5448,319;2080,081;0,0;0,0;0,0;0,0;2054,6355;0,0;0,0
